20160215113414 Cannot connect to COM1 at 9600
20160215222521 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215222621 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215222721 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215222821 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215222921 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215223021 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215223121 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215223221 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215223321 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215223421 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215223521 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215223621 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215223721 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215223821 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215223921 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215224021 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215224121 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215224221 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215224321 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215224421 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215224521 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215224621 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215224721 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215224821 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215224921 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215225021 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215225121 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215225221 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215225321 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215225421 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215225521 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215225621 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215225721 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215225821 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215225921 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215230021 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215230121 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215230221 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215230321 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215230421 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215230521 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215230621 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215230721 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215230821 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215230921 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215231022 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215231122 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215231222 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215231322 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215231422 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215231522 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215231622 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215231722 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215232932 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215233032 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215233132 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215233232 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215233332 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216121715 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216121815 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216121915 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216122015 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216122115 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216122215 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216122315 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216122415 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216122515 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216122616 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216122716 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216122816 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216122916 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216123016 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216123116 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216123216 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216123316 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216123416 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216123516 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216123616 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216123716 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216123816 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216123916 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216124016 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216124116 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216124216 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216124316 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216124416 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216124516 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216124616 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216124716 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216124816 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216124916 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216125016 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216125116 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216125216 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216125316 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216125417 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216125517 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216125617 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216125717 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216125817 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216125917 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216130017 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216130117 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216130217 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216130317 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216130417 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216130517 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216130617 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216130717 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216130817 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216130917 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216131017 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216131117 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216131217 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216131317 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216131417 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216131517 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216131617 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216131717 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216131817 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216131917 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216132017 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216132117 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216132217 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216132317 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216132417 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160216132517 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
